latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,bright_t31,frp,daynight,state,area,date_time,hours,date_time_2
-11.807,142.0583,313,1,1,1/08/2019,56,Terra,48,297.3,6.6,D,Queensland,1,1/08/2019 00:56:00,00:00,2019/8/1 0:56
-11.7924,142.085,319.3,1,1,1/08/2019,56,Terra,71,297.3,11.3,D,Queensland,1,1/08/2019 00:56:00,00:00,2019/8/1 0:56
-12.8398,132.8744,311.6,3.1,1.7,1/08/2019,57,Terra,42,298.7,23.1,D,Northern Territory,5.27,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-14.4306,143.3035,310.1,1.1,1.1,1/08/2019,57,Terra,33,296.1,6.5,D,Queensland,1.21,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-12.4953,131.4897,310.3,4,1.9,1/08/2019,57,Terra,36,298.8,27.6,D,Northern Territory,7.6,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-12.6191,142.1998,314.8,1,1,1/08/2019,57,Terra,68,297.6,9.3,D,Queensland,1,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-14.3655,143.5682,305.4,1.2,1.1,1/08/2019,57,Terra,24,283.9,5.9,D,Queensland,1.32,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-14.3195,143.5198,322.9,1.2,1.1,1/08/2019,57,Terra,79,290.9,20.4,D,Queensland,1.32,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-13.1654,141.9715,317.2,1,1,1/08/2019,57,Terra,72,300,9.9,D,Queensland,1,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-11.5473,132.6796,311.5,3.4,1.7,1/08/2019,57,Terra,40,298.7,27.3,D,Northern Territory,5.78,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-11.5417,132.649,312.2,3.4,1.7,1/08/2019,57,Terra,42,298,31.4,D,Northern Territory,5.78,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-11.5471,132.6538,316,3.4,1.7,1/08/2019,57,Terra,65,298,52.7,D,Northern Territory,5.78,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-12.7626,142.1759,335.2,1,1,1/08/2019,57,Terra,88,301.7,30.1,D,Queensland,1,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-12.705,133.907,311.7,2.6,1.5,1/08/2019,57,Terra,57,298.6,20.6,D,Northern Territory,3.9,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-13.1092,134.1848,315.9,2.4,1.5,1/08/2019,57,Terra,67,298.4,29.5,D,Northern Territory,3.6,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-14.0539,142.3327,316,1,1,1/08/2019,57,Terra,52,298.8,7.8,D,Queensland,1,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-12.6996,133.9138,310.9,2.6,1.5,1/08/2019,57,Terra,55,298.7,17.6,D,Northern Territory,3.9,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-12.7499,134.5251,314.8,2.3,1.5,1/08/2019,57,Terra,66,299.9,22.8,D,Northern Territory,3.45,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-12.7141,134.3991,313.9,2.4,1.5,1/08/2019,57,Terra,64,299.2,23,D,Northern Territory,3.6,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-12.7061,134.4077,314,2.4,1.5,1/08/2019,57,Terra,64,300,21.2,D,Northern Territory,3.6,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-13.8656,141.9771,315.7,1,1,1/08/2019,57,Terra,69,300.8,6.7,D,Queensland,1,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-12.6491,134.3953,324.9,2.4,1.5,1/08/2019,57,Terra,79,300.6,57.7,D,Northern Territory,3.6,1/08/2019 00:57:00,00:00,2019/8/1 0:57
-13.1015,134.1926,311.3,2.4,1.5,1/08/2019,57,Terra,55,298.1,17.2,D,Northern Territory,3.6,1/08/2019 00:57:00,00:00,2019/8/1 0:57
